Unnamed: 0,name,link,category,subcategory,price,size,condition,color,views,interested
226,Messi argentine,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2898191716-messi-argentine,Vêtements de sport & accessoires,Hauts & t-shirts,40.0,M,5,"BLEU, BLANC",74,0.0
227,Basket taille 22,https://www.vinted.fr/enfants/garcons/chaussures/chaussures-bebe/2794474736-basket-taille-22,Chaussures,Chaussures bébé,10.0,22,2,NOIR,192,3.0
228,Ensemble adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2916038690-ensemble-adidas,Garçons,Vêtements de sport,8.0,11 ANS / 140-146 CM,3,MARINE,20,0.0
229,Baskets adidas garçon 24,https://www.vinted.fr/enfants/garcons/chaussures/chaussures-de-sport/chaussures-de-course/2911775565-baskets-adidas-garcon-24,Chaussures de sport,Chaussures de course,15.0,24,3,"VERT, BLANC",115,3.0
230,Adidas Campus 00s,https://www.vinted.fr/heren/schoenen/sneakers/2915972081-adidas-campus-00s,Chaussures,Baskets,130.0,42.5,5,"VERT, VERT FONCÉ",33,2.0
231,Sweat capuche,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche-196/2917370302-sweat-capuche,Sweats et sweats à capuche,Sweats & sweats à capuche,20.0,XXS / 32 / 4,3,"NOIR, ROSE",1,1.0
232,Veste Adidas Vintage,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-coupe-vent/2903372364-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,S,3,"NOIR, ROUGE",86,9.0
233,Baskets Adidas Stan Smith enfants,https://www.vinted.fr/enfants/garcons/chaussures/baskets/baskets-a-scratch/2900104625-baskets-adidas-stan-smith-enfants,Baskets,Baskets à scratch,15.0,28,1,BLANC,142,3.0
234,Jogging Adidas taille S,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2915797405-jogging-adidas-taille-s,Vêtements de sport & accessoires,Survêtements,15.0,S,3,NOIR,16,6.0
235,Crampons adidas,https://www.vinted.fr/men/shoes/sports-shoes/football-boots/2907676002-crampons-adidas,Chaussures de sport,Chaussures de foot,110.0,44,3,BLANC,550,11.0
236,Chaussure adidas,https://www.vinted.fr/hommes/chaussures/baskets/2903200166-chaussure-adidas,Chaussures,Baskets,15.0,41,2,"NOIR, BLANC",67,5.0
237,Ensemble adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2845096402-ensemble-adidas,Garçons,Vêtements de sport,20.0,12 ANS / 146-152 CM,3,"NOIR, GRIS",39,7.0
238,Maillot officiel Argentine 3 étoiles Messi 2022 / official Argentina 3 star World cup Messi,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2902892467-maillot-officiel-argentine-3-etoiles-messi-2022-official-argentina-3-star-world-cup-messi,Vêtements de sport & accessoires,Hauts & t-shirts,50.0,M,5,"BLEU, BLANC",363,9.0
239,Adidas très bon état pointure 42,https://www.vinted.fr/hommes/chaussures/baskets/2909135730-adidas-tres-bon-etat-pointure-42,Chaussures,Baskets,39.0,42,3,NOIR,181,1.0
240,Short adidas,https://www.vinted.fr/enfants/garcons/vetements-de-sport/2891291477-short-adidas,Garçons,Vêtements de sport,5.0,11 ANS / 140-146 CM,3,"NOIR, BLANC",61,1.0
